State,Dec-20,Dec-21
Uttar Pradesh,"5,937","6,029"
Bihar,"1,067",963
Sikkim,225,249
Arunachal Pradesh,46,53
Nagaland,38,34
Manipur,41,48
Mizoram,25,20
Tripura,74,68
Meghalaya,106,149
Assam,984,"1,015"
West Bengal,"4,114","3,707"
Jharkhand,"2,150","2,206"
Odisha,"2,860","4,080"
Chhattisgarh,"2,349","2,582"
Madhya Pradesh,"2,615","2,533"
Gujarat,"7,469","7,336"
Daman and Diu,4,2
Dadra and Nagar Haveli,259,232
Rajasthan,"3,135","3,058"
Karnataka,"7,459","8,335"
Goa,342,592
Lakshadweep,1,1
Kerala,"1,776","1,895"
Tamil Nadu,"6,905","6,635"
Puducherry,159,147
Andaman and Nicobar Islands,22,26
Telangana,"3,543","3,760"
Andhra Pradesh,"2,581","2,532"
Ladakh,8,15
Other Territory,88,140
Centre Jurisdiction,127,186
Grand Total,"87,153","91,639"
Maharashtra,"17,699","19,592"
