State,Feb-20,Feb-21
Himachal Pradesh,620.69,663.12
Punjab,"1,228.94","1,299.37"
Chandigarh,172.37,148.5
Uttarakhand,"1,280.93","1,181.13"
Haryana,"5,266.43","5,589.81"
Delhi,"3,834.75","3,727.46"
Rajasthan,"2,932.09","3,223.70"
Uttar Pradesh,"5,775.91","5,996.62"
Bihar,"1,120.50","1,127.99"
Sikkim,182.65,222.35
Arunachal Pradesh,48.36,61.36
Nagaland,24.93,34.83
Manipur,37.36,32.34
Mizoram,24.84,21.06
Jammu and Kashmir,316.17,329.89
Meghalaya,156.57,146.5
Assam,923.87,945.84
West Bengal,"3,941.54","4,334.98"
Jharkhand,"2,070.87","2,321.03"
Odisha,"2,790.16","3,340.57"
Chhattisgarh,"2,274.41","2,453.10"
Madhya Pradesh,"2,621.03","2,791.57"
Gujarat,"7,215.54","8,221.23"
Daman and Diu,94.47,2.61
Dadra and Nagar Haveli,145.41,235.09
Maharashtra,"15,734.66","16,103.50"
Karnataka,"7,413.83","7,581.45"
Goa,410.61,343.8
Lakshadweep,2.14,0.46
Tripura,63.26,63.25
Tamil Nadu,"6,426.49","7,008.21"
Puducherry,158.86,158.05
Andaman and Nicobar Islands,36.01,23.26
Telangana,"3,667.13","3,636.44"
Andhra Pradesh,"2,563.33","2,652.57"
Ladakh,0,9.06
Other Territory,145.11,134.33
Centre Jurisdiction,100.14,129.03
Grand Total,"83,581.02","88,101.59"
Kerala,"1,754.12","1,806.10"
