State,Jul-20,Jul-21
Jammu and Kashmir,298,432
Himachal Pradesh,605,667
Punjab,"1,188","1,533"
Uttarakhand,988,"1,106"
Haryana,"3,483","5,330"
Delhi,"2,629","3,815"
Rajasthan,"2,797","3,129"
Uttar Pradesh,"5,099","6,011"
Bihar,"1,061","1,281"
Sikkim,186,197
Arunachal Pradesh,33,55
Nagaland,25,28
Manipur,25,37
Mizoram,16,21
Tripura,48,65
Meghalaya,120,121
Assam,723,882
West Bengal,"3,010","3,463"
Jharkhand,"1,340","2,056"
Odisha,"2,348","3,615"
Chattisgarh,"1,832","2,432"
Chandigarh,137,169
Gujarat,"5,621","7,629"
Daman and Diu,77,0
Dadra and Nagar Haveli,130,227
Maharashtra,"12,508","18,899"
Karnataka,"6,014","6,737"
Goa,257,303
Lakshadweep,2,1
Kerala,"1,318","1,675"
Tamil Nadu,"4,635","6,302"
Puducherry,136,129
Andaman and Nicobar Islands,18,19
Telangana,"2,876","3,610"
Andhra Pradesh,"2,138","2,730"
Ladakh,7,13
Other Territory,97,141
Center Jurisdiction,179,161
Grand Total,"66,291","87,678"
Madhya Pradesh,"2,289","2,657"
