State,Mar-20,Mar-21
Jammu and Kashmir,276.17,351.61
Himachal Pradesh,595.89,686.88
Punjab,"1,180.81","1,361.85"
Chandigarh,153.26,165.27
Uttarakhand,"1,194.74","1,303.57"
Haryana,"4,874.29","5,709.60"
Delhi,"3,272.99","3,925.97"
Rajasthan,"2,820.44","3,351.79"
Uttar Pradesh,"5,293.72","6,265.01"
Bihar,"1,055.94","1,195.75"
Sikkim,189.33,213.66
Arunachal Pradesh,66.71,92.03
Nagaland,38.75,45.48
Manipur,35.89,50.36
Mizoram,33.19,34.93
Tripura,67.1,87.9
Meghalaya,132.72,151.97
Assam,931.72,"1,004.65"
Jharkhand,"2,049.43","2,416.13"
Odisha,"2,632.88","3,285.29"
Chhattisgarh,"2,093.17","2,544.13"
Madhya Pradesh,"2,407.40","2,728.49"
Gujarat,"6,820.46","8,197.04"
Daman and Diu,94.91,3.29
Dadra and Nagar Haveli,168.89,288.49
Maharashtra,"15,002.11","17,038.49"
Karnataka,"7,144.30","7,914.98"
Goa,316.47,344.28
Lakshadweep,1.34,1.54
Kerala,"1,475.25","1,827.94"
Tamil Nadu,"6,177.82","7,579.18"
Puducherry,149.32,161.04
Andaman and Nicobar Islands,38.58,25.66
Telangana,"3,562.56","4,166.42"
Andhra Pradesh,"2,548.13","2,685.09"
Ladakh,0.84,13.67
West Bengal,"3,582.26","4,386.79"
Centre Jurisdiction,81.48,141.12
Grand Total,78693.75,91869.7
Other Territory,132.49,122.39
