State,Oct-20,Oct-21
Jammu and Kashmir,377,648
Himachal Pradesh,691,689
Punjab,"1,376","1,595"
Chandigarh,152,158
Uttarakhand,"1,272","1,259"
Haryana,"5,433","5,606"
Delhi,"3,211","4,045"
Rajasthan,"2,966","3,423"
Uttar Pradesh,"5,471","6,775"
Bihar,"1,010","1,351"
Sikkim,177,257
Arunachal Pradesh,98,47
Nagaland,30,38
Manipur,43,64
Tripura,57,67
Meghalaya,117,140
Assam,"1,017","1,425"
West Bengal,"3,738","4,259"
Jharkhand,"1,771","2,370"
Odisha,"2,419","3,593"
Chhattisgarh,"1,974","2,392"
Madhya Pradesh,"2,403","2,666"
Gujarat,"6,787","8,497"
Daman and Diu,7,0
Dadra and Nagar Haveli,283,269
Maharashtra,"15,799","19,355"
Karnataka,"6,998","8,259"
Goa,310,317
Lakshadweep,1,2
Kerala,"1,665","1,932"
Tamil Nadu,"6,901","7,642"
Puducherry,161,152
Andaman and Nicobar Islands,19,26
Telangana,"3,383","3,854"
Andhra Pradesh,"2,480","2,879"
Ladakh,15,19
Mizoram,32,32.1
Other Territory,91,137
Grand Total,"80,848","96,430"
Centre Jurisdiction ,114,189
