State,Sep-20,Sep-21
Jammu and Kashmir,368,377
Himachal Pradesh,653,680
Punjab,"1,194","1,402"
Uttarakhand,"1,065","1,131"
Haryana,"4,712","5,577"
Delhi,"3,146","3,605"
Rajasthan,"2,647","2,959"
Uttar Pradesh,"5,075","5,692"
Bihar,996,876
Sikkim,106,260
Arunachal Pradesh,35,55
Nagaland,29,30
Manipur,34,33
Mizoram,17,20
Tripura,50,50
Meghalaya,100,120
Assam,912,968
West Bengal,"3,393","3,778"
Jharkhand,"1,656","2,198"
Odisha,"2,384","3,326"
Chhattisgarh,"1,841","2,233"
Madhya Pradesh,"2,176","2,329"
Gujarat,"6,090","7,780"
Daman and Diu,15,0
Dadra and Nagar Haveli,225,304
Chandigarh,141,152
Karnataka,"6,050","7,783"
Goa,240,319
Lakshadweep,1,0
Kerala,"1,552","1,764"
Tamil Nadu,"6,454","7,842"
Puducherry,148,160
Andaman and Nicobar Islands,19,20
Telangana,"2,796","3,494"
Andhra Pradesh,"2,141","2,595"
Ladakh,9,15
Other Territory,110,132
Centre Jurisdiction,121,191
Grand Total,"72,250","86,832"
Maharashtra,"13,546","16,584"
