State,Apr-21,Apr-20,Apr-19,Apr-18,May-21,May-20,May-19,May-18,Jun-21,Jun-20,Jun-19,Jun-18,Jul-21,Jul-20,Jul-19,Jul-18,Aug-21,Aug-20,Aug-19,Aug-18,Sep-21,Sep-20,Sep-19,Sep-18,Oct-21,Oct-20,Oct-19,Oct-18,Nov-21,Nov-20,Nov-19,Nov-18,Dec-21,Dec-20,Dec-19,Dec-18,Jan-21,Jan-20,Jan-19,Jan-18,Feb-21,Feb-20,Feb-19,Feb-18,Mar-21,Mar-20,Mar-19,Mar-18
Andhra_Pradesh,nan,nan,nan,nan,nan,nan,nan,nan,nan,"2,367","2,232",nan,nan,"3,130","3,138",nan,nan,"1,955","2,115",nan,nan,"2,141","1,985",nan,nan,"2,480","1,975",nan,nan,"2,507","2,230",nan,nan,"2,581","2,265","2,049",nan,nan,"2,356","2,159",nan,"2,652.57","2,563","2,088",nan,"2,685.09","2,548","2,589"
Arunachal_Pradesh,nan,nan,nan,nan,nan,nan,nan,nan,nan,49,48,nan,nan,33,49,nan,nan,35,45,nan,nan,35,44,nan,nan,98,41,nan,nan,60,36,nan,nan,46,58,26,nan,nan,52,38,nan,61.36,48,32,nan,92.03,67,85
Assam,nan,nan,nan,nan,nan,nan,nan,nan,nan,966,798,nan,nan,723,795,nan,nan,709,768,nan,nan,912,848,nan,nan,"1,017",888,nan,nan,946,968,nan,nan,984,991,743,nan,nan,820,787,nan,945.84,924,736,nan,"1,004.65",932,956
Bihar,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,162","1,003",nan,nan,"1,061","1,160",nan,nan,967,981,nan,nan,996,986,nan,nan,"1,010",940,nan,nan,970,"1,107",nan,nan,"1,067","1,016",909,nan,nan,"1,122","1,039",nan,"1,127.99","1,121",961,nan,"1,195.75","1,056","1,177"
Chhattisgarh,nan,nan,nan,nan,nan,nan,nan,nan,nan,"2,549","2,093",nan,"2,432","1,832","2,002",nan,"2,391","1,994","1,873",nan,"2,233","1,841","1,490",nan,"2,392","1,974","1,570",nan,"2,454","2,181","2,176",nan,"2,582","2,349","2,136","1,852",nan,nan,"2,155","2,064","2,783","2,453.10","2,274","2,068","2,720","2,544.13","2,093","2,143"
Goa,nan,nan,nan,nan,nan,nan,nan,nan,nan,324,338,nan,nan,257,361,nan,nan,213,325,nan,nan,240,311,nan,nan,310,311,nan,nan,300,342,nan,nan,342,363,342,nan,nan,437,394,nan,343.80,411,401,nan,344.28,316,389
Gujarat,nan,nan,nan,nan,nan,nan,nan,nan,nan,"6,025","6,424",nan,nan,"5,621","6,411",nan,nan,"6,030","6,185",nan,nan,"6,090","5,741",nan,nan,"6,787","5,888",nan,nan,"7,566","6,805",nan,nan,"7,469","6,621","5,619",nan,nan,"7,330","6,185",nan,"8,221.23","7,216","6,507",nan,"8,197.04","6,820","6,521"
Haryana,nan,nan,nan,nan,nan,nan,nan,nan,nan,"3,697","4,889",nan,nan,"3,483","4,617",nan,nan,"4,373","4,474",nan,nan,"4,712","4,110",nan,nan,"5,433","4,578",nan,nan,"5,928","5,904",nan,nan,"5,747","5,365","4,646",nan,nan,"5,487","4,815",nan,"5,589.81","5,266","4,873",nan,"5,709.60","4,874","4,561"
Himachal_Pradesh,nan,nan,nan,nan,nan,nan,nan,nan,nan,619,697,nan,nan,605,677,nan,nan,597,676,nan,nan,653,609,nan,nan,691,669,nan,nan,758,701,nan,nan,670,699,595,nan,nan,675,647,nan,663.12,621,610,nan,686.88,596,660
Jharkhand,nan,nan,nan,nan,nan,nan,nan,nan,nan,"1,643","1,811",nan,nan,"1,340","1,855",nan,nan,"1,498","1,770",nan,nan,"1,656","1,509",nan,nan,"1,771","1,437",nan,nan,"1,907","1,720",nan,nan,"2,150","1,943","1,995",nan,nan,"2,027","1,965",nan,"2,321.03","2,071","2,121",nan,"2,416.13","2,049","2,149"
